"gid","link_id","f_node","t_node","lanes","road_rank","road_type","road_no","road_name","road_use","multi_link","connect","max_spd","rest_veh","rest_w","rest_h","c-its","length","updatedate","remark","hist_type","histremark","geom","min_cost"
257,"3010218700","3020044700","2882065300",1,"107","000",-,충무로,"0","0","0",30,"0",0,0,"0",110.666118579256,"20230519",,,,"MULTILINESTRING ((210119.0515999999 465255.23970000073, 210114.97470000014 465292.7287000008, 210114.94400000013 465298.5991999991, 210116.1514999997 465307.5661999993, 210118.46509999968 465316.8454999998, 210132.2095999997 465363.33029999956))",13.279934
258,"3020343000","3020128100","3020128200",1,"107","000",-,두정중1길,"0","0","0",60,"0",0,0,"0",47.935377043721,"20230519",,,,"MULTILINESTRING ((212390.97009999957 470684.43590000086, 212392.26070000045 470732.35390000045))",2.8761227
259,"3020432000","3020075100","3020075700",1,"107","000",-,"4산단7로","0","0","0",40,"0",0,0,"0",304.057981193598,"20230519",,,,"MULTILINESTRING ((211054.09839999955 473879.59420000017, 211054.08710000012 473879.91300000064, 211053.14740000013 473900.5943999998, 211056.7818 473954.8004999999, 211058.1200000001 474130.5031000003, 211058.31089999992 474183.3699999992, 211058.31109999958 474183.50349999964))",27.36522
260,"3020115300","3020098500","3020098200",2,"107","000",-,쌍용대로,"0","0","0",60,"0",0,0,"0",25.62345796932,"20230519",,,,"MULTILINESTRING ((211709.04339999985 466796.0390000008, 211703.72819999978 466777.8462000005, 211701.83839999977 466771.4494000003))",1.5374075
644,"3020245800","3020128800","3020129000",1,"107","000",-,서부2길,"0","0","0",60,"0",0,0,"0",61.636274866223,"20230519",,,,"MULTILINESTRING ((212403.6864 469410.5415000003, 212415.3803000003 469471.0582999997))",3.6981764
261,"3020483900","3020181100","3020180900",1,"107","000",-,양대기로길,"0","0","0",50,"0",0,0,"0",425.862572298168,"20230519",,,,"MULTILINESTRING ((222304.60869999975 478500.7346000001, 222298.42920000013 478493.7456, 222283.89120000042 478487.5613000002, 222267.54789999966 478483.61390000023, 222255.42059999984 478481.61170000024, 222229.53980000038 478478.0473999996, 222202.4168999996 478478.04659999907, 222190.33810000028 478480.4399999995, 222181.97259999998 478484.6205000002, 222159.04949999973 478504.2917999998, 222148.59520000033 478513.43459999934, 222139.14940000046 478518.2862, 222124.9188000001 478520.37040000036, 222114.6069 478520.4899000004, 222089.42619999964 478517.9721000008, 222061.93869999982 478515.3884999994, 222040.33409999963 478516.82019999996, 222006.47030000016 478522.78559999913, 221992.03809999954 478521.0736999996, 221972.92339999974 478515.4824000001, 221918.3995000003 478465.5889999997))",30.662106
262,"3020004900","3020003600","3020003500",1,"107","000",-,미라16길,"0","0","0",40,"0",0,0,"0",101.533991136225,"20230519",,,,"MULTILINESTRING ((211333.1177000003 467622.4640999995, 211320.98340000026 467521.65780000016))",9.13806
263,"3010054900","3010018200","3010018100",2,"107","000",-,-,"0","0","0",30,"0",0,0,"0",163.644385860233,"20230519",도로명없음,,,"MULTILINESTRING ((213370.02500000037 464356.06430000067, 213343.21839999966 464509.2185999993, 213343.6810999997 464511.14910000004, 213344.9402999999 464512.5449000001, 213349.01669999957 464513.90330000035))",19.637327
264,"3010000700","3010026900","3010019000",1,"107","000",-,-,"0","0","0",40,"0",0,0,"0",127.53156883031,"20230519",도로명없음,,,"MULTILINESTRING ((209485.85400000028 458715.74939999916, 209387.72250000015 458634.2969000004))",11.477841
17,"3010142200","3010112500","3010111500",1,"107","000",-,신사운전길,"0","0","0",40,"0",0,0,"0",719.576998377385,"20230519",,,,"MULTILINESTRING ((222404.74930000026 462505.7993999999, 222399.06859999988 462500.84369999915, 222380.98309999984 462484.7013000008, 222379.17190000042 462482.74340000004, 222358.85250000004 462461.77300000004, 222346.14790000021 462449.75569999963, 222336.55920000002 462441.12230000086, 222324.99170000013 462431.1353999991, 222311.4587000003 462419.9469000008, 222302.24399999995 462413.80680000037, 222291.9040000001 462408.61280000024, 222272.91459999979 462400.4383000005, 222258.92679999955 462395.2940999996, 222243.86459999997 462388.36470000073, 222229.23849999998 462381.39090000093, 222218.06689999998 462376.63639999926, 222208.27460000012 462371.1450999994, 222186.21600000001 462352.27490000054, 222173.91760000028 462340.4335999992, 222158.10120000038 462327.91669999994, 222138.32359999977 462309.0999999996, 222129.6777999997 462299.8627000004, 222126.91480000038 462295.8945000004, 222124.6649000002 462291.5050000008, 222122.4735000003 462286.7957000006, 222121.2893000003 462282.0833999999, 222120.55080000032 462275.54849999957, 222118.9824000001 462255.08809999935, 222117.38389999978 462230.8969999999, 222113.33079999965 462166.8548000008, 222110.9617999997 462129.22470000014, 222107.84520000033 462106.86009999923, 222104.5416000001 462098.1302000005, 222096.81439999957 462082.0823999997, 222089.9572999999 462069.83469999954, 222084.56819999963 462062.6085999999, 222032.9051000001 462002.64090000093, 222023.57189999986 461992.3769000005, 222013.3404000001 461979.30980000086, 222002.70019999985 461966.4818999991))",64.76193
18,"3010118100","3010111100","3010110900",1,"107","000",-,신사대화로,"0","0","0",50,"0",0,0,"0",278.767881364246,"20230519",,,,"MULTILINESTRING ((221761.95239999983 460181.1023999993, 221750.71509999968 460183.6640000008, 221736.55759999994 460186.61429999955, 221705.6331000002 460192.6191000007, 221663.59810000006 460200.56540000066, 221603.65259999968 460210.1186999995, 221535.40369999968 460221.1908, 221512.98199999984 460225.3671000004, 221487.3816999998 460228.94129999913))",20.071287
19,"3020306600","3020114500","3020114700",1,"107","000",-,원두정2길,"0","0","0",30,"0",0,0,"0",39.041661516019,"20230519",,,,"MULTILINESTRING ((212094.03469999973 470284.29619999975, 212098.4726999998 470323.0847999994))",4.6849995
20,"2140859900","2140309300","2140309400",1,"107","000",-,대추길,"0","0","0",50,"0",0,0,"0",401.861911722026,"20230519",,,,"MULTILINESTRING ((207938.78299999982 483054.02150000073, 207946.41431840224 483049.80535546754))",28.934057
21,"3020059300","3020029800","3020019800",1,"107","000",-,불당31길,"0","0","0",40,"0",0,0,"0",112.078233238853,"20230519",,,,"MULTILINESTRING ((209317.61149999965 467944.06599999964, 209426.78330000024 467918.7075999994))",10.087041
645,"3020245900","3020129000","3020128800",1,"107","000",-,서부2길,"0","0","0",60,"0",0,0,"0",61.636293838701,"20230519",,,,"MULTILINESTRING ((212404.7418999998 469474.0377999991, 212393.04789999966 469413.5209999997))",3.6981776
22,"3020054400","3020017900","3020046800",1,"107","000",-,양당로,"0","0","0",50,"0",0,0,"0",338.284735379061,"20230519",,,,"MULTILINESTRING ((210063.29609999992 475049.7627000008, 210069.09910000023 475056.5201999992, 210114.91559999995 475125.3150999993, 210127.2999999998 475144.0482999999, 210206.59520000033 475289.9640999995, 210226.00119999982 475344.8289999999))",24.3565
23,"3010177000","3010111300","3010111200",1,"107","003",-,충절로,"0","0","0",60,"0",0,0,"0",78.141105171696,"20230519",,,,"MULTILINESTRING ((221851.05769999977 463621.5253999997, 221786.89120000042 463609.52899999917, 221786.79090000037 463609.5077999998, 221774.29000000004 463606.9478999991))",4.688466
24,"3010185800","3010041700","3010044000",2,"107","000",-,통정11로,"0","0","0",30,"0",0,0,"0",84.213345934429,"20230519",,,,"MULTILINESTRING ((211784.29669999983 464018.96079999954, 211847.13389999978 463962.89499999955))",10.105601
25,"3020390800","3020111100","3020135700",3,"107","002",-,삼성대로,"0","0","0",70,"0",0,0,"0",597.940025724329,"20230519",,,,"MULTILINESTRING ((211991.98080000002 471166.93799999915, 212328.52630000003 471162.87450000085, 212589.8923000004 471161.4294000007))",30.751202
26,"3010306800","3010082400","3010082500",1,"107","000",-,신원2길,"0","0","0",30,"0",0,0,"0",95.414294080241,"20230519",,,,"MULTILINESTRING ((214345.23280000035 468630.8724000007, 214345.56950000022 468535.4586999994))",11.449716
27,"3010319400","3010079800","3010080200",1,"107","000",-,터미널5길,"0","0","0",30,"0",0,0,"0",86.196878841266,"20230519",,,,"MULTILINESTRING ((214230.03670000006 469155.8836000003, 214230.99560000002 469094.7730999999, 214233.59669999965 469087.3465999998, 214244.47369999997 469074.00960000046))",10.343625
28,"3010075000","3010029300","3010029600",1,"106","003","623",광덕로,"0","0","0",50,"0",0,0,"0",38.236835527176,"20230519",,,,"MULTILINESTRING ((210561.4241000004 455578.6107000001, 210589.00270000007 455552.1252999995))",2.7530522
29,"3020151100","3020101700","3020102300",3,"107","000",-,쌍용대로,"0","0","0",60,"0",0,0,"0",74.156400004657,"20230519",,,,"MULTILINESTRING ((211802.2399000004 467333.90729999915, 211813.1409 467407.2580999993))",4.449384
30,"3020161600","3020100800","3020100700",1,"107","000",-,봉서5길,"0","0","0",40,"0",0,0,"0",59.4502237958,"20230519",,,,"MULTILINESTRING ((211775.10859999992 467709.25730000064, 211767.6805999996 467662.36170000024, 211767.76410000026 467650.3920000009))",5.35052
31,"3020357900","3020095000","3020093400",1,"107","000",-,두정고6길,"0","0","0",40,"0",0,0,"0",46.160629729852,"20230519",,,,"MULTILINESTRING ((211665.93259999994 470806.27419999987, 211619.78509999998 470807.37509999983))",4.1544566
32,"3010303800","3010039300","3010038400",1,"107","000",-,성정로,"0","0","0",40,"0",0,0,"0",58.151962340102,"20230519",,,,"MULTILINESTRING ((211672.20940000005 468437.7810999993, 211615.42679999955 468450.32650000043))",5.2336764
33,"3020483400","3020177500","3020178100",1,"107","000",-,입장로,"0","0","0",40,"0",0,0,"0",1122.90577829935,"20230519",,,,"MULTILINESTRING ((219559.07809999958 478441.16080000065, 219689.43979999982 479028.59229999967, 219767.4561999999 479368.4911000002, 219776.0379999997 479411.38409999944, 219785.7282999996 479467.2622999996, 219803.83690000046 479536.9382000007))",101.06152
34,"3020480400","3020177900","3020177800",2,"105","000","23",망향로,"0","0","0",70,"0",0,0,"0",11.789859933607,"20230519",,,,"MULTILINESTRING ((219674.07859999966 478238.8037999999, 219668.4765999997 478234.7539000008, 219664.4963999996 478231.93510000035))",0.60633564
35,"3020348300","3020116200","3020113900",1,"107","000",-,부성5길,"0","0","0",60,"0",0,0,"0",42.311307011712,"20230519",,,,"MULTILINESTRING ((212118.39049999975 470756.9815999996, 212076.09080000035 470757.9726))",2.5386784
36,"3020360800","3020122700","3020122900",1,"107","000",-,부성2길,"0","0","0",40,"0",0,0,"0",41.287460646075,"20230519",,,,"MULTILINESTRING ((212271.78529999964 470834.22660000063, 212273.10699999984 470875.4929000009))",3.7158716
37,"3020382800","3020110700","3020110800",1,"107","000",-,부성1길,"0","0","0",40,"0",0,0,"0",53.509659238597,"20230519",,,,"MULTILINESTRING ((211989.78839999996 471028.7042999994, 211991.13549999986 471082.1970000006))",4.8158693
38,"3020400400","3020070300","3020074200",1,"107","000",-,성성6로,"0","0","0",40,"0",0,0,"0",137.455505671129,"20230519",,,,"MULTILINESTRING ((210892.55590000004 471277.5078999996, 211030.0094999997 471278.2316999994))",12.3709955
39,"3010101000","3010114100","3010115000",1,"107","000",-,대화2길,"0","0","0",40,"0",0,0,"0",334.557980969275,"20230519",,,,"MULTILINESTRING ((223255.63069999963 459393.1962000001, 223268.16779999994 459420.86250000075, 223275.14439999964 459435.7489, 223281.5491000004 459447.6027000006, 223394.2723000003 459630.08999999985, 223397.20569999982 459635.8791000005, 223398.95529999956 459641.2951999996, 223399.71270000003 459646.8203999996, 223400.52029999997 459688.82919999957))",30.110218
40,"3010300800","3010038400","3010038100",3,"107","000",-,서부대로,"0","0","0",60,"0",0,0,"0",108.203081032357,"20230519",,,,"MULTILINESTRING ((211609.13379999995 468445.4774999991, 211587.1793999998 468339.5251000002))",6.4921846
41,"3020219700","3020102000","3020099700",1,"107","000",-,도원6길,"0","0","0",40,"0",0,0,"0",59.815743930405,"20230519",,,,"MULTILINESTRING ((211802.7265999997 469100.96389999986, 211744.05759999994 469112.62030000053))",5.383417
42,"3020214200","3020146400","3020146100",1,"107","000",-,세관길,"0","0","0",10,"0",0,0,"0",122.061569890198,"20230519",,,,"MULTILINESTRING ((212874.57189999986 469022.3058000002, 212865.6492999997 469061.86649999954, 212861.09009999968 469092.4553999994, 212858.68030000012 469142.9782999996))",43.942165
43,"3010176700","3010058300","3010057900",2,"106","000","629",광풍로,"0","0","0",70,"0",0,0,"0",435.611848078115,"20230519",,,,"MULTILINESTRING ((212768.02840000018 463585.35720000044, 212755.0390999997 463794.19040000066, 212747.61369999964 463924.2405999992, 212747.5329 463978.3956000004, 212750.33000000007 464018.3502999991, 212750.59499999974 464020.2372999992))",22.402895
44,"3020484300","3020182300","3020182500",1,"103","000","34",성진로,"0","0","0",40,"0",0,0,"0",264.737162816398,"20230519",,,,"MULTILINESTRING ((224691.5354000004 478687.2185999993, 224696.6869000001 478683.32459999993, 224778.6732999999 478617.62820000015, 224785.60639999993 478609.92870000005, 224789.31859999988 478602.5081999991, 224791.69739999995 478595.28079999983, 224798.78679999989 478554.7765999995, 224804.78639999963 478521.30870000087, 224815.7126000002 478470.64320000075))",23.826345
45,"3010356401","3010006100","3010005900",2,"107","000",-,천변길,"0","0","0",40,"0",0,0,"0",506.776318485946,"20230519",,,,"MULTILINESTRING ((213074.3557000002 466919.9400999993, 213148.34750000015 466610.2642000001, 213176.0373999998 466480.35649999976, 213183.17860000022 466453.8830999993, 213197.5608000001 466429.69849999994))",45.609867
46,"3010106400","3010114800","3010115000",1,"107","000",-,"5산단3로","0","0","0",40,"0",0,0,"0",297.019159432877,"20230519",,,,"MULTILINESTRING ((223384.9238 459985.8646000009, 223388.51900000032 459688.8672000002))",26.731724
47,"3010299800","3010094400","3010094300",1,"107","003",-,벌말2로,"0","0","0",40,"0",0,0,"0",16.90794862048,"20230519",,,,"MULTILINESTRING ((215678.20990000013 468322.2412999999, 215677.61510000005 468324.0415000003, 215672.6007000003 468338.19129999913))",1.5217154
48,"3010295900","3010038700","3010038500",1,"107","000",-,봉서3길,"0","0","0",30,"0",0,0,"0",114.209350806781,"20230519",,,,"MULTILINESTRING ((211644.3627000004 468325.8289999999, 211621.69319999963 468213.89210000075))",13.705122
49,"3010163500","3010040900","3010042100",1,"107","000",-,풍세로,"0","0","0",50,"0",0,0,"0",103.157923407352,"20230519",,,,"MULTILINESTRING ((211748.56620000023 463190.0493999999, 211775.54580000043 463243.0209999997, 211791.2279000003 463265.9032000005, 211802.01460000034 463277.68129999936))",7.4273705
50,"3020111100","3020058100","3020058200",2,"107","000",-,월봉로,"0","0","0",40,"0",0,0,"0",41.340979719806,"20230519",,,,"MULTILINESTRING ((210556.7379999999 466726.15100000054, 210560.8457000004 466767.2873999998))",3.720688
