"숙박시설 이름","주소(도로명)","분류","lat","lon","geom"
천안 호텔 비즈니스,충청남도 천안시 서북구 양지9길 6,모텔,36.811726,127.139885,POINT (127.13988494873047 36.81172561645508)
천안 샹그리라,충청남도 천안시 서북구 성정공원1길 32 (성정동),모텔,36.82851,127.13973,POINT (127.13973236083984 36.82851028442383)
천안 클래스,충청남도 천안시 서북구 검은들3길 11 (불당동),모텔,36.81125,127.11053,POINT (127.11052703857422 36.811248779296875)
천안 도로시,충청남도 천안시 서북구 성정공원3길 9 (호텔 도로시),모텔,36.82652,127.142136,POINT (127.14213562011719 36.82651901245117)
천안 캘리포니아,충청남도 천안시 동남구 신부2길 34 (캘리포니아모텔),모텔,36.818714,127.159904,POINT (127.15990447998047 36.8187141418457)
천안 원플러스,충청남도 천안시 동남구 목천읍 충절로 902,모텔,36.773655,127.21072,POINT (127.2107162475586 36.77365493774414)
천안 제이탑,충청남도 천안시 서북구 검은들3길 19(불당동),모텔,36.81147,127.11059,POINT (127.11058807373047 36.81147003173828)
천안 브라운도트 천안 성정점,충청남도 천안시 서북구 성정공원4길 28 (브라운도트호텔),모텔,36.826588,127.144005,POINT (127.14400482177734 36.82658767700195)
천안(청당) 월,충청남도 천안시 동남구 청수11로 24,모텔,36.782547,127.15494,POINT (127.15493774414062 36.78254699707031)
천안 도쿄 호텔,충남 천안시 서북구 차돌들길 11-11 (쌍용동),모텔,36.797035,127.12816,POINT (127.12815856933594 36.797035217285156)
천안 호텔 루이스,충청남도 천안시 서북구 양지9길 5 (성정동),모텔,36.811813,127.139496,POINT (127.13949584960938 36.81181335449219)
천안 A,충청남도 천안시 동남구 신부12길 10 (신부동),모텔,36.818066,127.159325,POINT (127.1593246459961 36.81806564331055)
천안 드라파,충남 천안시 서북구 차돌들길 11-10,모텔,36.797367,127.128075,POINT (127.1280746459961 36.797367095947266)
천안 호텔 감,충청남도 천안시 서북구 성정공원3길 8(성정동),모텔,36.826176,127.14186,POINT (127.14186096191406 36.826175689697266)
천안 웨스턴 호텔,충청남도 천안시 동남구 신부2길 25,모텔,36.81842,127.15894,POINT (127.15894317626953 36.81842041015625)
천안 자자 호텔,충청남도 천안시 서북구 성정공원5로 60 1-9층,모텔,36.82736,127.14411,POINT (127.14411163330078 36.82735824584961)
천안 프라임,충청남도 천안시 동남구 신부2길 36 (신부동),모텔,36.81881,127.16015,POINT (127.16014862060547 36.818809509277344)
천안 렉스 호텔,충청남도 천안시 서북구 양지8길 10-4 (성정동),모텔,36.810703,127.139755,POINT (127.13975524902344 36.81070327758789)
천안 노블레스 호텔,충청남도 천안시 서북구 두정상가7길 15,모텔,36.831547,127.13948,POINT (127.13948059082031 36.831546783447266)
천안 성정 J호텔,충청남도 천안시 서북구 양지17길 3,모텔,36.811123,127.14058,POINT (127.14057922363281 36.81112289428711)
