"gid","node_id","node_type","node_name","turn_p","updatedate","remark","hist_type","histremark","geom"
80,"3010112400","103",속성변화점,"0","20230519",,,,MULTIPOINT ((222410.3953999998 460050.8817999996))
81,"3010113200","101",봉양리981,"0","20230519",,,,MULTIPOINT ((222742.3702999996 457904.76769999973))
82,"3010114000","101",납안리508,"0","20230519",,,,MULTIPOINT ((223076.8683000002 473099.87600000016))
83,"3010115800","104",납안교,"0","20230519",,,,MULTIPOINT ((223686.73890000023 473023.4891999997))
84,"3010121700","104",양곡2교,"0","20230519",,,,MULTIPOINT ((224761.70969999954 472300.78920000046))
85,"3010121900","101",혜정1교,"0","20230519",,,,MULTIPOINT ((224794.14400000032 457962.2866999991))
86,"3010127500","101",병천리44-1,"1","20230519",,,,MULTIPOINT ((227218.67449999973 463262.4940000009))
87,"3010129400","104",용두1교동측,"0","20230519",,,,MULTIPOINT ((227895.17569999956 461745.5239000004))
88,"3010130300","101",중앙아파트,"0","20230519",,,,MULTIPOINT ((228057.20650000032 462971.1479000002))
89,"3010130800","104",봉향교,"0","20230519",,,,MULTIPOINT ((228105.61039999966 469940.5884000007))
90,"3010131400","101",탑원리385,"0","20230519",,,,MULTIPOINT ((228392.9600999998 463090.72479999997))
91,"3010132000","101",구도리351-2,"0","20230519",,,,MULTIPOINT ((228803.19340000022 463238.0736999996))
92,"3010132500","101",화계리510,"0","20230519",,,,MULTIPOINT ((229306.74010000005 463410.7282999996))
93,"3010135200","103",속성변화점,"0","20230519",,,,MULTIPOINT ((232471.14639999997 465481.6609000005))
94,"3010135400","101",동산리583,"0","20230519",,,,MULTIPOINT ((232909.4841 466027.1326000001))
95,"3010136600","104",수남3교,"0","20230519",,,,MULTIPOINT ((234776.37019999977 463079.22699999996))
96,"3020000800","101",쌍용동494-47,"0","20230519",,,,MULTIPOINT ((211222.6849999996 466231.80000000075))
97,"3020001800","102",쌍용동210-53,"0","20230519",,,,MULTIPOINT ((211403.06209999975 466484.4774999991))
98,"3020003100","102",쌍용동310-1,"0","20230519",,,,MULTIPOINT ((211462.5201000003 467887.2960999999))
99,"3020004400","102",안궁리218-49,"0","20230519",,,,MULTIPOINT ((212175.25989999995 484894.3074999992))
100,"3020007300","102",모전리292-1,"0","20230519",,,,MULTIPOINT ((217834.10960000008 477549.2748000007))
101,"3020007500","102",오목리93-27,"0","20230519",,,,MULTIPOINT ((218059.2489 477502.59190000035))
102,"3020008800","102",매주리244-5,"0","20230519",,,,MULTIPOINT ((212009.63690000027 478466.48220000044))
103,"3020008900","102",성월리295-4,"0","20230519",,,,MULTIPOINT ((212562.63740000036 479637.0262000002))
104,"3020009500","102",석곡리11-11,"0","20230519",,,,MULTIPOINT ((209301.46839999966 476622.92950000055))
105,"3020012100","102",오목리207,"0","20230519",,,,MULTIPOINT ((219185.76040000003 477418.1450999994))
106,"3020013300","101",두정동83-42,"0","20230519",,,,MULTIPOINT ((213322.1370000001 470486.5201999992))
107,"3020017600","102",모시리215-4,"0","20230519",,,,MULTIPOINT ((211162.97900000028 474295.88599999994))
108,"3020023300","102",쌍용동1352,"0","20230519",,,,MULTIPOINT ((211212.86789999995 466907.7269000001))
109,"3020026800","101",율금리804,"0","20230519",,,,MULTIPOINT ((209012.3761 477396.0226000007))
110,"3020028200","101",두진그린삼거리,"0","20230519",,,,MULTIPOINT ((209175.03490000032 478300.69959999993))
111,"3020029600","101",왕림리302-30,"0","20230519",,,,MULTIPOINT ((209306.2455000002 479980.41819999926))
112,"3020033200","101",음봉로교차로,"0","20230519",,,,MULTIPOINT ((209538.88239999954 469429.9967))
113,"3020036000","101",서당교,"0","20230519",,,,MULTIPOINT ((209673.55069999956 466817.5123999994))
114,"3020037600","101",드림프라자,"0","20230519",,,,MULTIPOINT ((209767.1928000003 467907.7153999992))
115,"3020037900","101",매가클래,"0","20230519",,,,MULTIPOINT ((209780.24409999978 467954.0150000006))
116,"3020038300","101",불당24로교차로,"0","20230519",,,,MULTIPOINT ((209796.4464999996 469233.24379999936))
117,"3020038800","101",마정리396,"0","20230519",,,,MULTIPOINT ((209823.3934000004 476115.5247000009))
118,"3020039400","101",칸타타웨딩홀부페,"0","20230519",,,,MULTIPOINT ((209838.68929999974 468178.8826000001))
119,"3020040000","101",불당동223-1,"0","20230519",,,,MULTIPOINT ((209867.05030000024 468473.7809999995))
120,"3020040100","103",속성변화점,"0","20230519",,,,MULTIPOINT ((209867.52419999987 467689.6610000003))
121,"3020041900","101",청실홍실,"0","20230519",,,,MULTIPOINT ((209975.56900000013 470168.1754999999))
122,"3020042700","104",우신1교동측,"0","20230519",,,,MULTIPOINT ((210016.93340000045 480799.9419))
123,"3020045400","101",태영서적,"0","20230519",,,,MULTIPOINT ((210161.58800000045 465976.5499000009))
124,"3020047700","103",속성변화점,"0","20230519",,,,MULTIPOINT ((210246.9157999996 468608.81599999964))
125,"3020049200","101",백석마을회관,"1","20230519",,,,MULTIPOINT ((210289.2474999996 469334.2424999997))
126,"3020050000","101",서울우유,"0","20230519",,,,MULTIPOINT ((210319.7692999998 465534.0504999999))
127,"3020050600","101",GS25천안삼성,"0","20230519",,,,MULTIPOINT ((210326.8459999999 471208.0730000008))
128,"3020052700","101",쌍용동1905,"0","20230519",,,,MULTIPOINT ((210376.3992999997 465828.3914999999))
129,"3020056700","101",충주해장국,"0","20230519",,,,MULTIPOINT ((210518.14809999987 465757.9908000007))
130,"3020057100","101",칠갑산유통,"0","20230519",,,,MULTIPOINT ((210528.0125000002 465828.8359999992))
131,"3020060400","101",상신EDP,"0","20230519",,,,MULTIPOINT ((210624.17489999998 474182.0939000007))
132,"3020060800","101",대림A,"0","20230519",,,,MULTIPOINT ((210630.2899000002 473533.42080000043))
133,"3020063500","101",산후조리,"0","20230519",,,,MULTIPOINT ((210706.89740000013 466795.81530000083))
134,"3020066600","101",서부한국속셈학원,"0","20230519",,,,MULTIPOINT ((210777.5407999996 466739.82459999993))
135,"3020068200","101",쌍용원룸C동,"0","20230519",,,,MULTIPOINT ((210822.76150000002 467008.4960999992))
136,"3020072200","101",백석동1037,"1","20230519",,,,MULTIPOINT ((210957.5734000001 470224.73589999974))
137,"3020072500","101",백석동1181,"0","20230519",,,,MULTIPOINT ((210965.97449999955 469790.55450000055))
138,"3020073100","101",천일빌딩,"0","20230519",,,,MULTIPOINT ((211005.09509999957 465661.01329999976))
139,"3020074600","101",주해룡실리콘,"0","20230519",,,,MULTIPOINT ((211041.6414999999 473342.2196999993))
140,"3020074900","101",현대6차아1단지111,"0","20230519",,,,MULTIPOINT ((211044.73309999984 465879.7664000001))
141,"3020075200","102",에덴어린이집,"0","20230519",,,,MULTIPOINT ((211048.61259999964 477247.25009999983))
142,"3020078900","101",도란도란,"1","20230519",,,,MULTIPOINT ((211192.21050000004 472504.53229999915))
143,"3020080700","104",쌍용고가교,"0","20230519",,,,MULTIPOINT ((211254.1144000003 466632.35060000047))
144,"3020083100","101",백상여행사,"0","20230519",,,,MULTIPOINT ((211352.71109999996 466798.35500000045))
145,"3020083600","101",천안겨자나무교회,"0","20230519",,,,MULTIPOINT ((211359.92210000008 470212.5650999993))
146,"3020085800","101",천안겨자나무교회,"0","20230519",,,,MULTIPOINT ((211417.9199000001 470264.6889999993))
147,"3020087000","103",속성변화점,"0","20230519",,,,MULTIPOINT ((211433.65689999983 470209.69519999996))
148,"3020089200","101",향촌식당,"0","20230519",,,,MULTIPOINT ((211522.51130000036 466823.5427000001))
149,"3020090700","101",태성축산,"0","20230519",,,,MULTIPOINT ((211547.83920000028 470309.69209999964))
150,"3020092500","102",업성마을회관,"0","20230519",,,,MULTIPOINT ((211586.2631000001 474145.4966000002))
151,"3020092800","101",성성동145-13,"0","20230519",,,,MULTIPOINT ((211592.6451000003 471321.72100000083))
152,"3020093400","101",대주파크빌아파트1동,"0","20230519",,,,MULTIPOINT ((211619.67569999956 470800.8322999999))
153,"3020096400","101",아구촌,"0","20230519",,,,MULTIPOINT ((211687.3836000003 467043.6043999996))
154,"3020097900","101",옛고을보신탕,"0","20230519",,,,MULTIPOINT ((211709.8202999998 467198.4255999997))
155,"3020098900","101",연세천안북부,"0","20230519",,,,MULTIPOINT ((211724.9227 471035.7025000006))
156,"3020099300","101",천안레이크타운2차앞,"0","20230519",,,,MULTIPOINT ((211731.99799999967 471321.53339999914))
157,"3020099800","101",칠성유통,"0","20230519",,,,MULTIPOINT ((211744.46380000003 467444.1531000007))
158,"3020100800","101",고기나라,"0","20230519",,,,MULTIPOINT ((211780.47130000032 467708.02979999967))
159,"3020102700","101",카페마노,"0","20230519",,,,MULTIPOINT ((211825.22009999957 470252.35280000046))
160,"3020103000","101",주공6단지아파트106동,"0","20230519",,,,MULTIPOINT ((211829.16440000013 469585.7642999999))
161,"3020103900","101",카페베네천안두정점,"0","20230519",,,,MULTIPOINT ((211842.14910000004 470583.8945000004))
162,"3020105000","101",한성필하우스2201,"0","20230519",,,,MULTIPOINT ((211863.4288999997 471032.27419999987))
163,"3020110700","101",예광빌리지,"0","20230519",,,,MULTIPOINT ((211984.32809999958 471028.9112999998))
164,"3020113900","101",팔보영양탕,"0","20230519",,,,MULTIPOINT ((212075.98340000026 470751.42980000004))
165,"3020114300","101",하나학원,"0","20230519",,,,MULTIPOINT ((212081.5828999998 468431.02710000053))
166,"3020115500","101",커피농,"0","20230519",,,,MULTIPOINT ((212104.69940000027 470478.53240000084))
167,"3020115700","101",인비에스,"0","20230519",,,,MULTIPOINT ((212107.77950000018 470521.5599000007))
168,"3020120000","101",대성샷다,"0","20230519",,,,MULTIPOINT ((212223.31859999988 469147.03419999965))
169,"3020124800","101",주네모건축,"0","20230519",,,,MULTIPOINT ((212314.1074000001 469605.73340000026))
170,"3020125700","101",사랑으로아파트앞,"0","20230519",,,,MULTIPOINT ((212324.50119999982 477096.14269999973))
171,"3020127100","101",대홍리229-1,"0","20230519",,,,MULTIPOINT ((212351.65369999968 482389.7717000004))
172,"3020127600","101",황토방,"0","20230519",,,,MULTIPOINT ((212364.31049999967 469241.92730000056))
173,"3020132400","101",속옷마트,"0","20230519",,,,MULTIPOINT ((212493.67169999983 469272.5804999992))
174,"3020134200","101",명성슈퍼,"0","20230519",,,,MULTIPOINT ((212560.23550000042 469604.9952000007))
175,"3020135600","101",초원주택,"0","20230519",,,,MULTIPOINT ((212589.68769999966 468711.9177000001))
176,"3020136500","101",예크어린이집,"0","20230519",,,,MULTIPOINT ((212606.57600000035 470913.23599999957))
177,"3020136700","101",상명빌리지,"0","20230519",,,,MULTIPOINT ((212608.44429999962 471017.50689999945))
178,"3020138500","101",북부지하차도,"0","20230519",,,,MULTIPOINT ((212661.2536000004 471167.5842000004))
179,"3020139800","104",성정교,"0","20230519",,,,MULTIPOINT ((212704.47800000012 468334.2385000009))
180,"3020139900","102",작은불씨도서관,"0","20230519",,,,MULTIPOINT ((212704.83640000038 467747.9395000003))
181,"3020141200","101",거리막BS앞,"1","20230519",,,,MULTIPOINT ((212745.17920000013 476312.3175000008))
182,"3020142200","101",남서울대사거리,"0","20230519",,,,MULTIPOINT ((212771.6699000001 479246.62820000015))
183,"3020142300","101",성우공사,"0","20230519",,,,MULTIPOINT ((212773.9754999997 469039.98289999925))
184,"3020143200","102",새한슈퍼,"0","20230519",,,,MULTIPOINT ((212798.3060999997 467309.3521999996))
185,"3020145800","101",와촌동179,"0","20230519",,,,MULTIPOINT ((212845.23890000023 467437.38299999945))
186,"3020149200","101",대우1차아파트101동,"0","20230519",,,,MULTIPOINT ((212983.18709999975 470771.03119999915))
187,"3020149500","101",영진빌라,"0","20230519",,,,MULTIPOINT ((212992.52190000005 469472.8381999992))
188,"3020150200","101",대홍초등학교,"0","20230519",,,,MULTIPOINT ((213021.99260000046 483382.4199999999))
189,"3020153400","101",중동공업사,"0","20230519",,,,MULTIPOINT ((213245.75210000016 468603.0839000009))
190,"3020153700","104",신성2교,"0","20230519",,,,MULTIPOINT ((213281.65139999986 468902.83249999955))
191,"3020154100","101",도솔어린이집,"0","20230519",,,,MULTIPOINT ((213309.48139999993 470773.1281000003))
192,"3020162000","103",속성변화점,"0","20230519",,,,MULTIPOINT ((214208.9316999996 475474.2818999998))
