숙박시설 이름,주소(도로명),분류,lat,lon,평점 ,평균 가격
천안 성정 J호텔,충청남도 천안시 서북구 양지17길 3,모텔,36.811121,127.140583,4.8,"42,000"
천안 (신부동) 뷰,충청남도 천안시 동남구 먹거리5길 18,모텔,36.8177983,127.1577423,4.7,"40,000"
천안 아늑료칸 요수리구리 호텔,충청남도 천안시 서북구 양지9길 8 (임페라장모텔),모텔,36.8119113,127.1399027,4.8,"60,000"
천안 피아노,충청남도 천안시 동남구 큰시장길 3-3,모텔,36.8019071,127.1470178,4.8,"40,000"
천안 감성무인호텔 온화 어반트디자인,충남 천안시 서북구 양지9길 14,모텔,36.8124284,127.1399491,4.8,"55,000"
천안 더휴식 아늑호텔 천안역 2호점,충청남도 천안시 서북구 양지21길 37,모텔,36.8127617,127.1399256,4.9,"50,000"
천안 그린힐,충남 천안시 동남구 목천읍 목천안터2길 7,모텔,36.7751784,127.2112077,4.7,"50,000"
천안 JS,충청남도 천안시 동남구 신부12길 14,모텔,36.8180665,127.1595929,4.8,"30,000"
천안 더휴식 아늑호텔 천안역 1호점,충청남도 천안시 동남구 양지14길 7,모텔,36.8093591,127.140035,4.9,"55,000"
천안 새마을 호텔,충청남도 천안시 서북구 성환읍 천안대로 2374-11,모텔,36.9507369,127.1327526,4.7,"50,000"
천안 태조,충청남도 천안시 동남구 각원사길 137-10 (안서동),모텔,36.8317397,127.1858489,4.8,"40,000"
천안 호텔체크인,충청남도 천안시 동남구 은행길 8(대흥동),모텔,36.8079112,127.1481509,4.3,"55,000"
천안 베니키아 호텔,충청남도 천안시 서북구 양지21길 42,호텔,36.8124171,127.1402517,4.8,"68,000"
천안 월호텔(청수점),충청남도 천안시 동남구 청수11로 24,호텔,36.7825463,127.1549378,4.3,"60,000"
탑클라우드 호텔 천안,충청남도 천안시 동남구 서부역6길 3,호텔,36.8083462,127.1406716,4.6,"45,000"
천안 엠파이어,충청남도 천안시 동남구 각원사길 187-14 (엠파이어여관),모텔,36.8341167,127.1904336,4.5,"40,000"
천안 호텔 69,충청남도 천안시 서북구 성거읍 망향로 296,모텔,36.8474278,127.1812652,4.3,"40,000"
천안 피카소,충청남도 천안시 서북구 성정공원4길 13,모텔,36.8271818,127.1425006,4.6,"50,000"
천안 아덴 호텔,충청남도 천안시 서북구 성정공원3길 27 아덴호텔,모텔,36.826324,127.143966,4.9,"59,200"
천안 세븐블럭,충청남도 천안시 서북구 성정공원7길 29(성정동),모텔,36.8293817,127.1445182,4.8,"70,000"
천안 명품 DRIVE IN 무인호텔 J,충청남도 천안시 서북구 차돌들길 11-13(쌍용동),모텔,36.7967889,127.1280276,4.3,"50,000"
천안 텐호텔,충청남도 천안시 서북구 성거읍 성진로 584,모텔,36.9116353,127.1957946,4.4,"50,000"
천안 스타 호텔,충청남도 천안시 동남구 옛시청길 1,모텔,36.8073812,127.1476619,4.8,"45,000"
천안 폴라리스 무인텔,충청남도 천안시 동남구 목천읍 종합휴양지2길 12,모텔,36.7612704,127.2266565,4.8,"50,000"
천안 CC 모텔,충청남도 천안시 서북구 성거읍 망향로 405,모텔,36.8570365,127.1849144,4.4,"35,000"
천안 세븐,충청남도 천안시 서북구 검은들3길 6 (불당동),모텔,36.8109616,127.1109424,4.8,"55,000"
천안 보타닉,충청남도 천안시 동남구 목천읍 응원3길 33,모텔,36.7686439,127.1881947,5,"50,000"
소륜호텔 천안 by 아늑,충청남도 천안시 동남구 만남의길 21 (풀하우스),호텔,36.8237119,127.1662862,4.8,"40,000"
천안 오엔시티 호텔,충청남도 천안시 서북구 불당4로 105,호텔,36.8111654,127.1113233,4.6,"100,000"
천안 무지개캠핑장,충청남도 천안시 동남구 문암로 224,펜션,36.8476235,127.1951623,5,"80,000"
아늑료칸 요수리구리 호텔,충청남도 천안시 서북구 양지9길 8 (임페라장모텔),호텔,36.8119113,127.1399027,4.8,"55,000"
천안 시크릿,충청남도 천안시 동남구 신부3길 29 (신부동),모텔,36.8186747,127.16027,4.7,"26,500"
천안 벨리노,충남 천안시 서북구 양지17길 14 (성정동),모텔,36.8114488,127.1394964,4.7,"40,000"
